"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J3";"387207505";1;"AC_PWR_IN";;;
2;"U17,U16";"EAST1616RGBA8";2;"EAST1616RGBA8";;;
3;"J18,J17";"IDC-Header_2x07_P2.54mm_Vertical";2;"Conn_02x07_Odd_Even";;;
4;"F2,F1";"BK250-600";2;"Polyfuse";;;
5;"U14,U5";"9-1393243-3";2;"9-1393243-3";;;
6;"U12,U11,U10,U9,U8,U7";"DIP-6_W7.62mm";6;"MOC3021";;;
7;"U6";"DIP-8_W7.62mm";1;"HCPL3700M";;;
8;"U2";"SOT-223";1;"LM1117-3.3";;;
9;"RV14,RV13,RV12,RV11,RV10,RV9,RV8,RV7,RV6,RV5,RV4,RV2,RV1,RV3";"RV_Disc_D16.5mm_W6.7mm_P7.5mm";14;"VDR-14D181K";;;
10;"R35,R34,R31,R30,R29,R28,R23,R22,R21,R1";"R_0402_1005Metric";10;"10K";;;
11;"R33,R32,R27,R26,R25,R24,R4";"R_0402_1005Metric";7;"200R";;;
12;"R20,R19,R18,R38";"R_0402_1005Metric";4;"1K";;;
13;"Q5,Q4,Q3";"SOT-23";3;"WST2N7002K";;;
14;"K4,K3,K2,K1";"TE_9-1440003-0";4;"9-1440003-0";;;
15;"J15";"SHDR2W100P0X508_1X2_1070X900X1380P";1;"peristaltic_pump_1";;;
16;"J14";"SHDR2W100P0X508_1X2_1070X900X1380P";1;"peristaltic_pump_2";;;
17;"J13";"6PCV02006";1;"TANK HEATER";;;
18;"J12,J7";"barrier_terminal_6PCV_04_006";2;"BOILER HEATER CONNECTOR";;;
19;"J11";"SHDR2W100P0X508_1X2_1070X900X1380P";1;"WASH PUMP CONNECTOR";;;
20;"J10";"SHDR2W100P0X508_1X2_1070X900X1380P";1;"DRAIN PUMP CONNECTOR";;;
21;"J9";"SHDR2W100P0X508_1X2_1070X900X1380P";1;"SOLENOID CONNECTOR";;;
22;"D6,D5,D4,D3,D2,D1";"TO-220-3_Vertical";6;"Q_TRIAC_A1A2G";;;
23;"BZ1";"Piezo_Transducer_THT_PS1240P02BT";1;"PS1240P02BT";;;
24;"H8,H9,H6,H3,H4,H2,H1,H5,H7";"MountingHole_4.3mm_M4";9;"MountingHole";;;
25;"C21,C14,C9,C3,C5,C22,C16,C17,C8,C7,C18,C6,C20,C23,C11,C12,C19,C15";"C_0402_1005Metric";18;"100nF";;;
26;"J6";"PinSocket_1x04_P2.54mm_Vertical";1;"Conn_01x04_Male";;;
27;"C13";"C_0402_1005Metric";1;"1uF";;;
28;"R11,R7";"R_0603_1608Metric";2;"150R";;;
29;"R36,R37";"R_0805_2012Metric";2;"47K";;;
30;"R14";"R_0603_1608Metric";1;"75K";;;
31;"J4";"JST_EH_S2B-EH_1x02_P2.50mm_Horizontal";1;"MAG_DOOR_SENSOR";;;
32;"U1";"TQFP-100_14x14mm_P0.5mm";1;"ATmega2560-16AU";;;
33;"R12,R10,R6,R5,R8";"R_0603_1608Metric";5;"100R";;;
34;"R9,R15,R13";"R_0603_1608Metric";3;"4.7K";;;
35;"C10";"C_0402_1005Metric";1;"10uF";;;
36;"C4";"C_0402_1005Metric";1;"4.7nF";;;
37;"D7";"TO-269AA";1;"MB6S";;;
38;"C1,C2";"C_0402_1005Metric";2;"22pF";;;
39;"U3,U4";"QFN65P500X500X80-21N";2;"MAX31865ATP+T";;;
40;"J5";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
41;"SW1";"K2-1187SQ-D4SW-06";1;"SW_Push";;;
42;"PS1";"CONV_HLK-5M05";1;"HLK-5M05";;;
43;"R2,R3";"R_0402_1005Metric";2;"4300 R_0.1%";;;
44;"U15";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"TXS0108EPW";;;
45;"J1";"JST_EH_S3B-EH_1x03_P2.50mm_Horizontal";1;"RTD_TANK_SENSOR";;;
46;"J2";"JST_EH_S3B-EH_1x03_P2.50mm_Horizontal";1;"RTD_BOILER_SENSOR";;;
47;"Y1";"Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm";1;"C3E-16.000-12-1010-M";;;
48;"U13";"DIP-4_W7.62mm";1;"EL817";;;
49;"U18";"UQFN-20_3x3mm_P0.4mm";1;"MPR121QR2";;;
50;"J16";"PinSocket_1x07_P2.54mm_Horizontal";1;"SCREEN CONNECTOR";;;
51;"J8";"custom_connector_0.83pitch";1;"Conn_01x10_Male";;;
